Ticker,Company,Type,Flag
UYG,PROSHARES ULTRA FINANCIALS,EQUITY D PENNIES TO 3.00,0
V,"Visa, Inc.",EQUITY D PENNIES TO 3.00,0
VALE,VALE S.A.,EQUITY D PENNIES TO 3.00,0
VIAV,Viavi Solutions Inc.,EQUITY D PENNIES TO 3.00,0
VLO,VALERO ENERGY CORP (NEW),EQUITY D PENNIES TO 3.00,0
VOD,VODAFONE GROUP PLC (REPTSG 10 ORD S,EQUITY D PENNIES TO 3.00,0
VRNG,VRINGO INC,EQUITY D PENNIES TO 3.00,0
VRSN,VERISIGN INC,EQUITY D PENNIES TO 3.00,0
VVUS,VIVUS INC,EQUITY D PENNIES TO 3.00,0
VXX,IPATH S&P 500 VIX SH-TM FT,EQUITY D PENNIES TO 3.00,0
VZ,VERIZON COMMUNICATIONS,EQUITY D PENNIES TO 3.00,0
WBA,WALGREENS Boots Alliance Inc.,EQUITY D PENNIES TO 3.00,0
WDC,WESTERN DIGITAL CORP,EQUITY D PENNIES TO 3.00,0
WFC,WELLS FARGO & CO(NEW),EQUITY D PENNIES TO 3.00,0
WFM,WHOLE FOODS MKT INC,EQUITY D PENNIES TO 3.00,0
WFT,WEATHERFORD INTL LTD (BERMUDA),EQUITY D PENNIES TO 3.00,0
WHR,WHIRLPOOL CORPORATION,EQUITY D PENNIES TO 3.00,0
WIN,WINDSTREAM CORP COM,EQUITY D PENNIES TO 3.00,0
WLTGQ,"Walter Energy, Inc.",EQUITY D PENNIES TO 3.00,0
WMB,WILLIAMS COMPANIES,EQUITY D PENNIES TO 3.00,0
WMT,WAL-MART STORES INC,EQUITY D PENNIES TO 3.00,0
WYNN,WYNN RESORTS LTD,EQUITY D PENNIES TO 3.00,0
X,UNITED STATES STEEL CP,EQUITY D PENNIES TO 3.00,0
XHB,SPDR S&P HOMEBUILDERS ETF,EQUITY D PENNIES TO 3.00,0
XL,XL GROUP plc,EQUITY D PENNIES TO 3.00,0
XLB,SELECT SECTOR SPDR FD-MATERIALS,EQUITY D PENNIES TO 3.00,0
XLE,ENERGY SECTOR SPDR,EQUITY D PENNIES TO 3.00,0
XLF,FINANCIAL SECTOR SPDR,EQUITY D PENNIES TO 3.00,0
XLI,INDUSTRIAL SECTOR SPDR,EQUITY D PENNIES TO 3.00,0
XLK,TECHNOLOGY SECTOR SPDR,EQUITY D PENNIES TO 3.00,0
XLNX,XILINX INC,EQUITY D PENNIES TO 3.00,0
XLP,CONSUMER STAPLES SECTOR SPDR,EQUITY D PENNIES TO 3.00,0
XLU,UTILITIES SECTOR SPDR,EQUITY D PENNIES TO 3.00,0
XLV,SELECT SECTOR SPDR FUND-HEALTH CARE,EQUITY D PENNIES TO 3.00,0
XLY,SELECT SECTOR SPDR-CONSUMER DISRETI,EQUITY D PENNIES TO 3.00,0
XME,SPDR  S&P Metals & Mining ETF,EQUITY D PENNIES TO 3.00,0
XOM,EXXON MOBIL CORPORATION,EQUITY D PENNIES TO 3.00,0
XOP,P Oil & Gas Exploration & Production ETF,EQUITY D PENNIES TO 3.00,0
XRT,SPDR S&P RETAIL ETF,EQUITY D PENNIES TO 3.00,0
XRX,XEROX CORPORATION,EQUITY D PENNIES TO 3.00,0
YHOO,YAHOO INC,EQUITY D PENNIES TO 3.00,0
YRCW,YRC WORLDWIDE INC,EQUITY D PENNIES TO 3.00,0
